team,proj_record,current_sos,current_rank,remaining_sos,remaining_rank,total_sos,total_rank
Stonehill,10.9-20.1,1275.54,350,1098.2,343,1186.87,351
So Indiana,7.31-22.69,1208.02,365,1260.98,310,1234.5,337
Chicago St,7.29-23.71,1475.04,186,1352.3,281,1413.67,248
Bryan (TN),0-4,530.84,491,NA,366,NA,366
Fisk,0-4,622.61,443,NA,367,NA,367
N Greenville,1-1,-90.19,713,NA,368,NA,368
KCU,0-4,585.95,460,NA,369,NA,369
Saint Francis,6.6-24.4,1394.49,258,1177.8,322,1286.15,318
SC State,8.67-21.33,1361.57,290,976.2,362,1168.89,356
Hawaii Pac,1-1,879.44,384,NA,370,NA,370
Lincoln U (CA),0-5,501.46,512,NA,371,NA,371
Midway,0-4,474.96,537,NA,372,NA,372
Kansas City,4.27-25.73,1390.9,261,1321.88,287,1356.39,286
UL Monroe,4.02-26.98,1385.28,265,1645.8,137,1515.54,174
Coppin St,7.43-23.57,1387.8,262,1206.9,317,1297.35,313
Bethesda,0-7,540.32,484,NA,373,NA,373
Rider,3.36-25.64,1482.26,176,1399.17,254,1440.72,228
Binghamton,6.6-24.4,1186.82,368,1059.16,349,1122.99,360
W Illinois,5.09-25.91,1240.39,358,1388.27,259,1314.33,302
Delaware St,6.73-22.27,1169.96,371,1020.95,356,1095.46,364
Nobel,0-7,444.06,547,NA,374,NA,374
Gardner-Webb,3.07-27.93,1455.88,203,1385.71,263,1420.8,242
Penn State-She,0-4,538.42,485,NA,375,NA,375
Champ Chrstn,0-6,473.94,538,NA,376,NA,376
Westminster UT,0-2,1022.72,375,NA,377,NA,377
WILMNGTNDE,1-0,258.12,637,NA,378,NA,378
LaGrange,0-2,648.84,430,NA,379,NA,379
Milligan,0-2,1038.27,372,NA,380,NA,380
Tusculum,0-2,658.38,425,NA,381,NA,381
Georgian Court,0-2,687.65,410,NA,382,NA,382
NM Highlands,0-3,807.42,394,NA,383,NA,383
Ohio Weslyan,0-2,583.57,463,NA,384,NA,384
Brescia,0-2,574.69,466,NA,385,NA,385
Ecclesia,0-5,278.97,630,NA,386,NA,386
Chaminade,0-3,914.86,383,NA,387,NA,387
UC Santa Cruz,0-2,941.47,380,NA,388,NA,388
Mid Atl Chrstn,0-6,327.65,607,NA,389,NA,389
Cent St OH,0-2,636.22,435,NA,390,NA,390
Averett,0-2,550.09,480,NA,391,NA,391
IU East,0-2,853.95,387,NA,392,NA,392
Tougaloo,0-2,521.26,498,NA,393,NA,393
Life Pacific,0-2,517.94,499,NA,394,NA,394
Pfeiffer,0-2,550.09,480,NA,395,NA,395
Columbia (SC),0-2,536.36,487,NA,396,NA,396
Elizabeth City,0-2,253.07,643,NA,397,NA,397
Evergreen,0-2,585.34,462,NA,398,NA,398
St Mary's (MD),0-2,632.25,437,NA,399,NA,399
Illinois Tech,0-2,465.53,541,NA,400,NA,400
Mount Marty,0-2,582.33,464,NA,401,NA,401
CO Christian,0-2,488.73,522,NA,402,NA,402
Mary Baldwin,0-2,550.09,480,NA,403,NA,403
Howard Payne,0-2,561.2,477,NA,404,NA,404
Blue Mountain,0-2,492.23,515,NA,405,NA,405
City (NY),0-2,557.88,479,NA,406,NA,406
