rank,team,rating,record,best_win,best_win_elo
439,Texas Lutheran,653,0-2,NA,NA
440,SUNY-Maritime,651,0-2,NA,NA
441,La Sierra,649.3,0-3,NA,NA
442,Bob Jones,647.6,0-3,NA,NA
443,Elms,647.5,0-2,NA,NA
444,SW Adventist,647.3,0-3,NA,NA
445,Notre Dame MD,643.9,0-3,NA,NA
446,Regent,642.3,0-2,NA,NA
447,Arlington Bapt,641.8,0-3,NA,NA
448,Justice,641.5,0-3,NA,NA
449,Ft Lauderdale,641.1,0-3,NA,NA
450,Dall Christian,637.5,0-3,NA,NA
451,Cleary,636.8,0-3,NA,NA
452,Oakwood,635.4,0-3,NA,NA
453,Worcester St,632.6,0-2,NA,NA
454,Johnson Wales,632.4,0-2,NA,NA
455,West Coast,626.7,0-3,NA,NA
456,Carolina U,625.4,0-3,NA,NA
457,PSU Abington,613.6,0-2,NA,NA
458,Oakland City,609.9,0-2,NA,NA
459,Wash Coll (MD),607.9,0-2,NA,NA
460,Erskine,605.2,0-2,NA,NA
461,PSU Brandywine,603.7,0-2,NA,NA
462,SW Christian U,603.4,0-3,NA,NA
463,Toccoa Falls,600.9,0-4,NA,NA
464,Brewton Parker,599.5,0-2,NA,NA
465,Coe,599,0-2,NA,NA
466,New College FL,594.2,0-2,NA,NA
467,Huston Till,592.7,0-2,NA,NA
468,S Wesleyan,591.2,0-3,NA,NA
469,Manor,590.7,0-2,NA,NA
470,RIT,589.4,0-2,NA,NA
471,Saint Xavier,588,0-2,NA,NA
472,Biblical Stud,585.9,0-9,NA,NA
473,Misericordia,577.5,0-2,NA,NA
474,VTSU Johnson,565.7,0-3,NA,NA
475,Northwood,563.2,1-0,W Michigan,1424.6
476,Miss Valley St,560.1,1-19,Miss for Women,128.3
477,Trinity Co Jax,556.8,0-3,NA,NA
478,Cheyney (PA),549.2,0-2,NA,NA
479,Virginia St,549,1-0,Delaware St,827
480,Ark Baptist,537.6,0-3,NA,NA
481,VA Lynchburg,522.6,0-10,NA,NA
482,Central Penn,467,0-3,NA,NA
483,Trinity (IL),185.5,0-1,NA,NA
484,Humboldt,185.5,0-1,NA,NA
485,Frank Pierce,185.4,0-1,NA,NA
486,Catawba,185.3,0-1,NA,NA
487,OK Christian,185.2,0-1,NA,NA
488,St Thomas (TX),185.2,0-1,NA,NA
489,Millsaps,185.2,0-1,NA,NA
490,FL Memorial,185,0-1,NA,NA
491,La Verne,184.9,0-1,NA,NA
492,Mount Olive,184.9,0-1,NA,NA
493,Adams St,184.8,0-1,NA,NA
494,Capital,184.8,0-1,NA,NA
495,Jamestown,184.5,0-1,NA,NA
496,Shaw,184.5,0-1,NA,NA
497,Bloomfield,184.4,0-1,NA,NA
498,St John's (MN),184.3,0-1,NA,NA
499,Northrn St,184.2,0-1,NA,NA
500,Rockford,184.2,0-1,NA,NA
501,Molloy,184.2,0-1,NA,NA
502,Cmbrlnd KY,184.2,0-1,NA,NA
503,Ohio Christian,184.1,0-1,NA,NA
504,Mnhttn Chrstn,184,0-1,NA,NA
505,Western NE,184,0-1,NA,NA
506,Lawrence,183.9,0-1,NA,NA
507,UC Merced,183.9,0-1,NA,NA
508,MD West St,183.8,0-1,NA,NA
509,Farmingdale St,183.7,0-1,NA,NA
510,Scholastic,183.6,0-1,NA,NA
511,Angelo State,183.4,0-1,NA,NA
512,Converse,183.2,0-1,NA,NA
513,Brandeis,183.2,0-1,NA,NA
514,Park U Gilbert,183.2,0-1,NA,NA
515,Principia,183.2,0-1,NA,NA
516,DeSales,183.1,0-1,NA,NA
517,Wilms Baptist,183,0-1,NA,NA
518,Vassar,183,0-1,NA,NA
519,Christian Bros,183,0-1,NA,NA
520,Concord,182.8,0-1,NA,NA
521,Bowie State,182.7,0-1,NA,NA
522,Lynchburg,182.7,0-1,NA,NA
523,Cumberland,182.6,0-1,NA,NA
524,Colorado Coll,182.6,0-1,NA,NA
525,S Arkansas,182.5,0-1,NA,NA
526,Menlo,182.5,0-1,NA,NA
527,Morehouse,182.5,0-1,NA,NA
528,LeTourneau,182.4,0-1,NA,NA
529,Centenary (NJ),182.4,0-1,NA,NA
530,Schreiner,182.3,0-1,NA,NA
531,Piedmont,182.3,0-1,NA,NA
532,Old Westbury,182.3,0-1,NA,NA
533,Northwest U,182.2,0-1,NA,NA
534,MO So St,182.2,0-1,NA,NA
535,Doane,182.2,0-1,NA,NA
536,Rosemont,182.2,0-1,NA,NA
537,CINCYCLER,182.1,0-1,NA,NA
538,Pit Greensburg,182.1,0-1,NA,NA
